singer	title	cluster
잼	난 멈추지 않는다	6
잼	우리 모두 사랑하자	1
잼	이유	6
잼	18번가의 비밀	7
잼	요즘 친구들	3
잼	싫증	0
서태지와 아이들	난 알아요	3
서태지와 아이들	이밤이 깊어가지만	3
서태지와 아이들	너와 함께한 시간속에서	6
노이즈	너에게 원한건	0
노이즈	변명	6
듀스	나를 돌아봐	4
서태지와 아이들	하여가(何如歌)	6
서태지와 아이들	마지막 축제	5
서태지와 아이들	너에게	3
잼	어색한 느낌	0
잼	잼 (Zam) 우리는	6
듀스	우리는	0
노이즈	내가 널 닮아갈 때	3
노이즈	우리가 빛이 될 수 있다면	7
룰라	100일(日)째 만남	3
서태지와 아이들	교실 이데아	0
서태지와 아이들	널 지우려 해	6
서태지와 아이들	발해를 꿈꾸며	7
듀스	여름 안에서	4
더 블루	친구를 위해	7
더 블루	나의 곁엔 언제나	7
더 블루	Endless Love	7
더 블루	나의 파라다이스	7
더 블루	너를 사랑해	5
더 블루	X-클럽	5
더 블루	나의 곁엔 언제나 (Club Ver.)	7
더 블루	그날 이후	6
더 블루	다시 만날 때까지 (Goodbye Friend)	7
룰라	날개 잃은 천사	0
룰라	천상유애(天上有愛)	1
룰라	프로와 아마츄어	7
룰라	사랑법	1
R.ef	이별 공식	4
R.ef	상심	1
R.ef	고요속의 외침	0
R.ef	상심 (Remix)	1
솔리드	이 밤의 끝을 잡고	7
솔리드	나만의 친구	3
솔리드	잠든 널 포켓속에	0
솔리드	아끼지 못했던 사랑	5
노이즈	상상속의 너	3
노이즈	어제와 다른 오늘	3
노이즈	체념	1
노이즈	소유할 수 없는 너	1
듀스	굴레를 벗어나 (Mo Funk Ver.)	6
듀스	너에게만	5
터보	나 어릴 적 꿈	0
터보	검은 고양이 네로	0
터보	선택	0
쿨 (COOL)	슬퍼지려 하기 전에	1
쿨 (COOL)	작은 기다림	5
서태지와 아이들	Come Back Home	3
노이즈	착각	0
노이즈	홀로서기	6
노이즈	이젠	5
잼	나만의 이유	4
잼	이유	6
잼	너를 위해	5
잼	동화속의 나라	7
잼	마지막 숨결	5
잼	만난지 3년	0
잼	어긋난 선택	1
솔리드	천생연분	0
솔리드	넌 나의 처음이자 마지막이야!	4
솔리드	해피엔딩	5
듀스	여름안에서	1
듀스	나를 돌아봐	4
듀스	굴레를 벗어나	6
듀스	사랑, 두려움	1
듀스	우리는	6
듀스	상처	3
듀스	떠나버려	6
듀스	약한 남자	6
듀스	Go!Go!Go!	7
태사자	Memory	5
서태지와 아이들	너에게	3
서태지와 아이들	하여가	6
서태지와 아이들	환상속의 그대	6
서태지와 아이들	우리들만의 추억	7
R.ef	찬란한 사랑 (상심II)	1
R.ef	마음속을 걸어가	7
R.ef	Jazz	0
R.ef	니가 뭔데	1
서태지와 아이들	시대유감(時代遺憾)	7
터보	Love Is... (3+3=0)	1
터보	Twist King	7
터보	어느 째즈바	5
터보	생일 축하곡 (Acid House Remix)	0
터보	상처	7
R.ef	가을의 기억 (Memories In Fall)	5
R.ef	마음속을 걸어가 (Jungle Ver.)	7
언타이틀	책임져	0
H.O.T.	전사의후예(폭력시대)	6
H.O.T.	캔디	6
솔리드	이 밤의 끝을 잡고	7
노이즈	성형미인	0
노이즈	착각 (Remix)	0
Hamohamo	빠삐용 (그의 두통은 자유였다)	0
Hamohamo	True Love	5
Hamohamo	히든 카드	0
Hamohamo	세상에 던지는 한마디	2
Hamohamo	Pang Pang (나보다 나은 너)	6
아이돌	환상체험	4
아이돌	이럴수가	0
아이돌	Bow Wow	0
아이돌	삼인사각	3
구피	많이많이	1
쿨 (COOL)	운명	0
쿨 (COOL)	루시퍼의 변명	0
룰라	연인	3
터보	회상 (December)	5
터보	Good Bye Yesterday	2
터보	금지된 장난	1
R.ef	심연(深淵)	5
R.ef	후애	1
언타이틀	날개	6
룰라	3!4!	7
룰라	비밀은 없어	6
룰라	100일째 만남	4
룰라	날개 잃은 천사	0
솔리드	끝이 아니기를	3
젝스키스	사나이 가는 길(폼생폼사)	5
쿨 (COOL)	해변의 여인	0
쿨 (COOL)	송인(送人)	7
T.N.B	비키니-Ⅰ	0
T.N.B	노코멘트 (No Comment)	6
H.O.T.	행복	5
H.O.T.	We are the future	7
구피	비련	5
엔알지	할수있어	1
에스이에스	I'm Your girl	7
에스이에스	Oh, My Love	1
태사자	도	1
태사자	Time	6
엔알지	사랑만들기	1
쿨 (COOL)	또자-쿨쿨	3
이글 파이브	오징어 외계인	0
이글 파이브	궤도	4
이글 파이브	우리들의 천국	7
이글 파이브	어른들의 동화	6
이글 파이브	두번째 만남	6
이글 파이브	지난날 (회상)	3
이글 파이브	내안의 너	7
이글 파이브	따라하기	0
이글 파이브	비상	7
이글 파이브	Dear Friend	6
핑클 (Fin.K.L)	Blue Rain	5
핑클 (Fin.K.L)	루비(淚悲):슬픈 눈물	0
R.ef	귀머거리 하늘	5
R.ef	Never Ending Story	1
R.ef	하늘을 걸고	6
신화	으샤! 으샤!	0
신화	해결사	7
T.N.B	아름다운 이별 Part 1	5
T.N.B	남자가 여자를 사랑할때	6
T.N.B	진달래꽃	6
T.N.B	너와 함께 할꺼야	1
T.N.B	단심가	1
T.N.B	좋은 세상 만들기 (하나)	7
T.N.B	영화같은 이별	5
젝스키스	Road Fighter	0
베이비복스	야야야	7
베이비복스	Change	0
H.O.T.	빛	7
젝스키스	커플	6
원타임	1tym	6
원타임	Falling In Love	1
원타임	Good Love	1
원타임	뭘 위한 세상인가	7
터보	애인이 생겼어요	3
터보	X (The Greatest Love)	1
터보	White Love (스키장에서)	7
에스이에스	Dreams Come True	1
에스이에스	너를 사랑해	3
Circle	Sweetest Love	1
Circle	프로포즈	1
Circle	"Welcome To The ""Circle Asia"""	7
Circle	졸업(卒業)	5
Circle	To My Dream	7
Circle	여행	0
Circle	Go! Go! Go!	0
R.ef	상심(Ballad Ver.)	1
쿨 (COOL)	애상	1
쿨 (COOL)	미절 (Misery)	0
god	어머님께	0
god	관찰	0
코요태	만남	6
룰라	기도 (Good)	1
룰라	Moving	5
언타이틀	댄스! 댄스! 댄스!	0
언타이틀	하얀 사랑	1
언타이틀	낮과 밤	0
이글 파이브	Fire	6
이글 파이브	우리들의 천국 (Remix)	7
이글 파이브	Game over	5
이글 파이브	내 맘속에	1
이글 파이브	Fantasia	7
이글 파이브	TV 속의 이별	1
이글 파이브	몽중인	5
이글 파이브	뭐니	5
신화	T.O.P. (Twinkling Of Paradise)	3
신화	Yo! (악동보고서)	0
핑클 (Fin.K.L)	영원한 사랑	1
핑클 (Fin.K.L)	자존심	3
핑클 (Fin.K.L)	Waiting For You	1
Y2K	헤어진 후에	6
Y2K	깊은 슬픔	3
Y2K	비련	0
Y2K	부탁이야	7
클레오	Good Time	0
클레오	니가 나를 꼭 사랑할때만	0
클레오	연인	1
티티마	Prism	1
티티마	My Baby	5
티티마	My Baby	0
티티마	Smile Again	6
티티마	Loner	5
티티마	Come To Me	5
티티마	A+ (A Plus)	1
티티마	Heaven	0
티티마	Loving	6
솔리드	이 밤의 끝을 잡고	7
솔리드	천생연분	0
솔리드	이제 그만 화 풀어요	3
태사자	Magic	6
태사자	Vanessa	7
오피피에이	그대야 미안해	7
오피피에이	와요와요	1
베이비복스	Killer	0
클릭비 (Click-B)	Dreamming	1
클릭비 (Click-B)	잊혀진 사랑	1
젝스키스	Com' Back	0
H.O.T.	아이야!	0
핑클 (Fin.K.L)	루비	0
에스이에스	Twillight Zone	5
에스이에스	Love	7
코요태	실연	1
god	사랑해 그리고 기억해	1
god	애수(哀愁)	1
god	Friday Night	0
핑클 (Fin.K.L)	화이트 (White)	3
핑클 (Fin.K.L)	나의 왕자님께 (To My Prince)	7
핑클 (Fin.K.L)	가면의 시간	3
밀크	Wait For Me	1
쥬얼리	달콤한 상상	7
쥬얼리	하늘같은 사랑	1
샤크라	Why	1
샤크라	결심	7
샤크라	이별징후	3
샤크라	기원	5
샤크라	한 (Come A Come)	5
샤크라	사랑징후	1
샤크라	Make A Love	1
샤크라	Fantasy	1
샤크라	Champion	0
샤크라	Hey U	6
엑스라지	미안해	1
엑스라지	슬픈 약속	5
엑스라지	Deep Down	1
엑스라지	Window Pain	5
엑스라지	No Time To Lose	7
엑스라지	Why	7
엑스라지	Rose	0
엑스라지	You	1
엑스라지	막상막하	0
엑스라지	인연	7
엑스라지	Sexy Lady	0
에스지	Birthday Kiss	7
에스지	몽유애	6
에스지	Love Letter	1
에스지	그대가	1
에스지	My Love Song	1
에스지	White	1
에스지	내가 꿈꾸는 세계	7
에스지	누구야 (Original Ver.)	1
에스지	Chaos	0
에스지	쉿 (Original Ver.)	3
에스지	누구야 (World Mix)	1
에스지	Eraser = Born To Kill (Club Ver.)	6
에스지	쉿 (Zipecher Mix)	3
에스지	누구야 (Who Mix)	1
에스지	Outro (슬픈 눈)	0
샤크라	Hey U	6
샤크라	한	5
파파야	배려	5
파파야	있을 때 잘하기	5
파파야	탐	3
파파야	Smile Smile	3
파파야	내 얘길 들어봐	7
파파야	꼭 약속해	3
파파야	Special	0
파파야	바람끼	0
파파야	가면	6
파파야	있을 때 잘하기	5
파파야	Special (Remix)	0
샤모니	바리향	0
샤모니	성실	5
샤모니	기원	6
쥬얼리	몽	3
샤크라	Lonely Christmas	5
샤크라	Christmas 시리즈	0
샤크라	Amazing Grace	1
샤크라	석별의 정	5
샤크라	상제리제에 내린 축복	0
